! CMT, S5065, 17017441, 22.3.2/2
! Date: 2022-08-18 오후 4:28:15
! Stimulus(Hz),    S11(dB),           S12(dB),           S21(dB),           S22(dB)
9.00000000000E+03,+7.45630203106E-01,-6.81448276654E+01,-6.28656806302E+01,+7.56953977242E-01
9.16925444368E+03,+7.35004074952E-01,-6.69185320455E+01,-6.49337913045E+01,+7.43637081291E-01
9.34169189477E+03,+7.17353845763E-01,-6.91664941854E+01,-6.41271368726E+01,+7.24669958122E-01
9.51737221307E+03,+6.95699048602E-01,-6.87444866141E+01,-6.29399053815E+01,+7.08856701603E-01
9.69635638410E+03,+6.80652411786E-01,-7.08053284475E+01,-6.24550362622E+01,+6.88049604726E-01
9.87870654027E+03,+6.61118829477E-01,-6.48709680260E+01,-6.38036611374E+01,+6.65421934990E-01
1.00644859825E+04,+6.44643512917E-01,-7.34523729129E+01,-6.28211889776E+01,+6.46406209710E-01
1.02537592020E+04,+6.22706243897E-01,-6.51032468691E+01,-6.54117502399E+01,+6.19779218341E-01
1.04465919031E+04,+6.09643498275E-01,-6.96656148634E+01,-6.45474593725E+01,+5.97192328385E-01
1.06430510254E+04,+5.88182947878E-01,-6.94305280910E+01,-6.54914603636E+01,+5.76524360597E-01
1.08432047676E+04,+5.66894025533E-01,-6.89541725950E+01,-6.48122088215E+01,+5.51504978189E-01
1.10471226110E+04,+5.44769088531E-01,-6.78316231056E+01,-6.56173436004E+01,+5.26051656141E-01
1.12548753435E+04,+5.24370930999E-01,-6.98004399826E+01,-6.69006941469E+01,+5.04696934355E-01
1.14665350840E+04,+5.00339946622E-01,-6.78847347762E+01,-6.60746034471E+01,+4.79475687461E-01
1.16821753081E+04,+4.83141238693E-01,-7.04309220632E+01,-6.72067221869E+01,+4.56496345846E-01
1.19018708728E+04,+4.58354372506E-01,-7.02372649540E+01,-6.61154225459E+01,+4.29431228862E-01
1.21256980432E+04,+4.31029573519E-01,-6.63060756377E+01,-6.55258857031E+01,+4.05216307482E-01
1.23537345184E+04,+4.10026956637E-01,-7.28942296764E+01,-6.52718597958E+01,+3.80549304076E-01
1.25860594587E+04,+3.95183765615E-01,-7.71093454714E+01,-6.65450071334E+01,+3.60715917201E-01
1.28227535134E+04,+3.71133638842E-01,-6.96386021111E+01,-6.76790418866E+01,+3.31696288538E-01
1.30638988481E+04,+3.42054159789E-01,-6.49093554369E+01,-6.56513661618E+01,+2.97177710111E-01
1.33095791739E+04,+3.25664382137E-01,-6.53074318931E+01,-6.61106981711E+01,+2.84188338470E-01
1.35598797759E+04,+3.16136003821E-01,-6.75033256161E+01,-6.57470566409E+01,+2.72527362523E-01
1.38148875435E+04,+2.98633582178E-01,-6.75124298837E+01,-6.67412866105E+01,+2.62636635339E-01
1.40746909997E+04,+2.86986015815E-01,-6.75093430663E+01,-6.68090647515E+01,+2.46272724511E-01
1.43393803325E+04,+2.74846594519E-01,-6.77417731960E+01,-6.61626512512E+01,+2.33441608309E-01
1.46090474259E+04,+2.56708073901E-01,-6.89812472680E+01,-6.64092289088E+01,+2.23486424534E-01
1.48837858920E+04,+2.45999703170E-01,-6.56806633032E+01,-6.70724394707E+01,+2.11786818480E-01
1.51636911032E+04,+2.29616455412E-01,-6.85178108802E+01,-6.65877440767E+01,+1.93373097453E-01
1.54488602256E+04,+2.14960742000E-01,-6.79330675559E+01,-6.71859299747E+01,+1.83181146938E-01
